"","state","county","tract","block","H005007"
"1","17","031","010100","1000",0
"2","17","031","010100","1001",0
"3","17","031","010100","1002",0
"4","17","031","010100","1003",0
"5","17","031","010100","2013",0
"6","17","031","010100","2003",0
"7","17","031","010100","2000",0
"8","17","031","010100","2001",0
"9","17","031","010100","2002",0
"10","17","031","010100","2007",0
"11","17","031","010100","2012",0
"12","17","031","010100","2004",0
"13","17","031","010100","2005",0
"14","17","031","010100","2006",0
"15","17","031","010100","2008",0
"16","17","031","010100","2009",0
"17","17","031","010100","2010",0
"18","17","031","010100","2011",0
"19","17","031","010100","3003",0
"20","17","031","010100","3009",0
"21","17","031","010100","3000",0
"22","17","031","010100","3002",0
"23","17","031","010100","3004",0
"24","17","031","010100","3006",0
"25","17","031","010100","3008",0
"26","17","031","010100","3010",0
"27","17","031","010100","3012",0
"28","17","031","010100","3007",0
"29","17","031","010100","3005",0
"30","17","031","010100","3011",0
"31","17","031","010100","3001",0
"32","17","031","010201","1002",0
"33","17","031","010201","1003",0
"34","17","031","010201","1004",0
"35","17","031","010201","1005",0
"36","17","031","010201","1006",0
"37","17","031","010201","1012",0
"38","17","031","010201","1007",0
"39","17","031","010201","1000",0
"40","17","031","010201","1008",0
"41","17","031","010201","1001",0
"42","17","031","010201","1009",0
"43","17","031","010201","1010",0
"44","17","031","010201","1013",0
"45","17","031","010201","1011",0
"46","17","031","010201","2033",0
"47","17","031","010201","2036",0
"48","17","031","010201","2026",0
"49","17","031","010201","2005",0
"50","17","031","010201","2022",0
"51","17","031","010201","2034",0
"52","17","031","010201","2037",0
"53","17","031","010201","2024",0
"54","17","031","010201","2027",0
"55","17","031","010201","2035",0
"56","17","031","010201","2028",0
"57","17","031","010201","2030",0
"58","17","031","010201","2038",0
"59","17","031","010201","2039",0
"60","17","031","010201","2040",0
"61","17","031","010201","2009",0
"62","17","031","010201","2011",0
"63","17","031","010201","2007",0
"64","17","031","010201","2019",0
"65","17","031","010201","2017",0
"66","17","031","010201","2014",0
"67","17","031","010201","2000",0
"68","17","031","010201","2001",0
"69","17","031","010201","2002",0
"70","17","031","010201","2003",0
"71","17","031","010201","2008",0
"72","17","031","010201","2004",0
"73","17","031","010201","2006",0
"74","17","031","010201","2010",0
"75","17","031","010201","2013",0
"76","17","031","010201","2012",0
"77","17","031","010201","2015",0
"78","17","031","010201","2016",0
"79","17","031","010201","2031",0
"80","17","031","010201","2018",0
"81","17","031","010201","2025",0
"82","17","031","010201","2020",0
"83","17","031","010201","2032",0
"84","17","031","010201","2021",0
"85","17","031","010201","2023",0
"86","17","031","010201","2029",0
"87","17","031","010201","3003",0
"88","17","031","010201","3007",0
"89","17","031","010201","3006",0
"90","17","031","010201","3000",0
"91","17","031","010201","3002",0
"92","17","031","010201","3004",0
"93","17","031","010201","3005",0
"94","17","031","010201","3009",0
"95","17","031","010201","3011",0
"96","17","031","010201","3001",0
"97","17","031","010201","3008",0
"98","17","031","010201","3010",0
"99","17","031","010202","1008",0
"100","17","031","010202","1007",0
"101","17","031","010202","1012",0
"102","17","031","010202","1013",0
"103","17","031","010202","1000",0
"104","17","031","010202","1001",0
"105","17","031","010202","1002",0
"106","17","031","010202","1004",0
"107","17","031","010202","1003",0
"108","17","031","010202","1005",0
"109","17","031","010202","1011",0
"110","17","031","010202","1009",0
"111","17","031","010202","1010",0
"112","17","031","010202","1006",0
"113","17","031","010202","2007",0
"114","17","031","010202","2009",0
"115","17","031","010202","2001",0
"116","17","031","010202","2010",0
"117","17","031","010202","2002",0
"118","17","031","010202","2003",0
"119","17","031","010202","2004",0
"120","17","031","010202","2005",0
"121","17","031","010202","2008",0
"122","17","031","010202","2000",0
"123","17","031","010202","2006",0
"124","17","031","010300","1007",0
"125","17","031","010300","1005",0
"126","17","031","010300","1004",0
"127","17","031","010300","1006",0
"128","17","031","010300","1001",0
"129","17","031","010300","1000",0
"130","17","031","010300","1003",0
"131","17","031","010300","1002",0
"132","17","031","010300","2001",0
"133","17","031","010300","2004",0
"134","17","031","010300","2014",0
"135","17","031","010300","2000",0
"136","17","031","010300","2002",0
"137","17","031","010300","2005",0
"138","17","031","010300","2008",0
"139","17","031","010300","2010",0
"140","17","031","010300","2013",0
